,Product Name,Prices,Description,Review
12,"SAMSUNG 8 kg 5 Star, Digital Inverter Motor,Hygiene Steam, Fully Automatic Front Load Washing Machine ...","₹37,500","1400 rpm Max Speed5 Star RatingFor all Fully Automatic Washing Machines with Digital Inverter Motors, sold on or after 1st Dec 2022 (All Fully Automatic Front Load Washing Machine and Top Load Washing Machine) the Warranty period on the Digital Inverter Motor shall be revised from 10 years to 20 years and Comprehensive Product Warranty shall be revised from 3 years to 2 years.",4.4
13,IFB 8 kg 5 Star 9 Swirl AI Powered with Wi-Fi 4 years Comprehensive Warranty with 2x Power Steam Fully...,"₹47,490","1400 rpm Max Speed5 Star Rating4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor and 10 Years Spares Support",4.4
14,"BOSCH 10 kg 1400RPM, Anti Wrinkle, i-DOS system and EcoSilence Drive motor Fully Automatic Front Load ...","₹49,990","1400 RPM Max Speed5 Star Rating2 years on product, 12 years on motor",4.4
15,"BOSCH 9 kg 1400RPM, Anti Wrinkle, i-DOS system and EcoSilence Drive motor Fully Automatic Front Load W...","₹43,940","1400 RPM Max Speed5 Star Rating2 years on product, 12 years on motor",4.4
16,realme TechLife 6 kg 5 Star Power Clean Fully Automatic Front Load Washing Machine with In-built Heate...,"₹18,990",1000 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from realme TechLife,4.1
17,MOTOROLA 10.5 kg Smart Wi-Fi Enabled Steam Wash Inverter Technology Fully Automatic Front Load Washing...,"₹28,990",1400 rpm Max Speed5 Star Rating2 Years Comprehensive and 10 Years on Motor From Motorola,4.1
18,LG 8 kg AI Direct Drive Technology Fully Automatic Front Load Washing Machine with In-built Heater Bla...,"₹33,990","1200 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor",4.5
19,"LG 8 kg Wifi Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey","₹36,990",1200 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor T&C,4.6
20,IFB 8 kg 5 Star 9 Swirl AI Powered with Wi-Fi 4 years Comprehensive Warranty with 2x Power Steam Fully...,"₹47,490","1400 rpm Max Speed5 Star Rating4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor and 10 Years Spares Support",4.4
21,"IFB 8 kg 5 Star 3D Wash System, Triadic Pulsator, Smart Sense 4 years Comprehensive Warranty? Fully Au...","₹23,990","720 rpm Max Speed5 Star Rating4 Years Comprehensive Warranty, 10 Years Motor Warranty, 10 Years Warranty Spares Support",4.3
22,SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black,"₹40,990","1400 rpm Max Speed5 Star RatingFor all Fully Automatic Washing Machines with Digital Inverter Motors, sold on or after 1st Dec 2022 (All Fully Automatic Front Load Washing Machine and Top Load Washing Machine) the Warranty period on the Digital Inverter Motor shall be revised from 10 years to 20 years and Comprehensive Product Warranty shall be revised from 3 years to 2 years.",4.4
